epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,24560,0.69152,0.77106,1.16404,0.72813,0.82225,0.82997,0.71392,1.49491,1.2828,1.93452,0.002377,0.002377,0.002377
79,24871.7,0.68792,0.76844,1.16034,0.74317,0.77483,0.82033,0.68255,1.48574,1.26436,1.92303,0.002278,0.002278,0.002278
80,25194.3,0.69376,0.76173,1.16137,0.75873,0.81779,0.8249,0.68006,1.49254,1.2508,1.93907,0.002179,0.002179,0.002179
81,25503.7,0.68785,0.75663,1.16072,0.7501,0.80919,0.8193,0.70019,1.49157,1.27101,1.94408,0.00208,0.00208,0.00208
82,25829,0.69335,0.75374,1.16097,0.8179,0.75684,0.81454,0.68185,1.48174,1.26673,1.93651,0.001981,0.001981,0.001981
83,26140.4,0.67464,0.73316,1.14742,0.78911,0.76352,0.81648,0.68733,1.4734,1.28552,1.91933,0.001882,0.001882,0.001882
84,26455.6,0.67484,0.72702,1.15342,0.71769,0.80419,0.79801,0.65758,1.46064,1.26056,1.91628,0.001783,0.001783,0.001783
85,26764.6,0.66835,0.71792,1.14606,0.72044,0.77194,0.78416,0.65735,1.45666,1.27422,1.91292,0.001684,0.001684,0.001684
86,27078.7,0.67149,0.71763,1.15207,0.74728,0.74291,0.78042,0.65253,1.47085,1.26538,1.93003,0.001585,0.001585,0.001585
87,27390.7,0.6643,0.70371,1.14511,0.77258,0.75221,0.80057,0.67648,1.47534,1.26471,1.93801,0.001486,0.001486,0.001486
88,27708.4,0.65753,0.70011,1.14013,0.76963,0.75316,0.78373,0.65655,1.47355,1.25012,1.93936,0.001387,0.001387,0.001387
89,28017.7,0.65736,0.68551,1.1375,0.75223,0.75527,0.77459,0.64334,1.48611,1.27151,1.95207,0.001288,0.001288,0.001288
90,28337.8,0.66205,0.6926,1.1453,0.74244,0.76181,0.77051,0.6381,1.48994,1.26584,1.95624,0.001189,0.001189,0.001189
91,28675.2,0.49139,0.39331,1.05997,0.73869,0.7852,0.77951,0.6449,1.49402,1.24537,1.94942,0.00109,0.00109,0.00109
92,28952.4,0.48451,0.37616,1.05334,0.70573,0.80977,0.76097,0.63818,1.48492,1.22312,1.93154,0.000991,0.000991,0.000991
93,29229.9,0.47978,0.36401,1.04595,0.72296,0.80713,0.76077,0.63156,1.48629,1.21276,1.93295,0.000892,0.000892,0.000892
94,29553.3,0.47014,0.35195,1.03894,0.72035,0.80548,0.76383,0.63859,1.48285,1.2219,1.93258,0.000793,0.000793,0.000793
95,29860.3,0.46098,0.35212,1.034,0.68544,0.82777,0.75825,0.63285,1.47471,1.20948,1.92958,0.000694,0.000694,0.000694
96,30195.8,0.45817,0.34018,1.02899,0.74397,0.76716,0.77409,0.64979,1.47769,1.20932,1.9459,0.000595,0.000595,0.000595
97,30478.9,0.45587,0.33099,1.03163,0.7113,0.80701,0.77808,0.65339,1.47615,1.21994,1.94604,0.000496,0.000496,0.000496
98,30778.8,0.44465,0.3242,1.02251,0.70378,0.82113,0.77897,0.65215,1.47601,1.21284,1.94236,0.000397,0.000397,0.000397
